"Study ID","Author, Year (Study level)","Study Class","Study Publication Year","Treatment Focus (Study level)","Treatment Focus (Arm level)","Treatment Focus Subclass (Arm level)","Total N Randomized","Intervention Group","Arm N Randomized","Arm N Randomized Detail","Treatment Name","Standardized Treatment Name","Treatment Description","Psychotherapy","Psychotherapy Subclass","Pharmacotherapy","Pharmacotherapy Subclass","CIH","CIH Subclass","Nonpharmacologic Biologic","Nonpharmacologic Cognitive","Control","Other Study Class","Collaborative Care","Format","Delivery Method","Dose","Session Length","Frequency","Treatment Duration","Treatment Duration Detail","Completed Treatment Definition","Completed Treatment Percent","Completed Treatment Percent Detail","Participant Adherence Definition","Participants Adhered Percent","Participants Adhered Percent Detail","Psychotherapy Sessions Completed Mean","Psychotherapy Sessions Completed Standard deviation","Psychotherapy Sessions Completed Detail","Dose at Study End Point Mean","Dose at Study End Point Standard deviation","Dose at Study End Point Detail","Race/Ethnicity Reported (Study level)","Military Status (Study level)","Female Percent (Study level)","Trauma Type (Study level)","Trauma Detail (Study level)","Risk of Bias Rating (Study level)","Citation","PTSDpubs ID","Year Added to PTSD Repository"
"abdallah2022_A","abdallah2022","Pharmacotherapy","2022","PTSD","PTSD",,"158","A","51","53 randomized, 2 excluded ""never began"" treatment","Standard dose ketamine","Ketamine","Eight intravenous infusions of ketamine at a standard dose for treatment of depression, given over 40 minutes","No",,"Yes","Other pharmacotherapy","No",,"No","No","No","No","No","Individual","In Person","0.5 mg/kg",,"Twice weekly","4",,,,,"completed 8 infusions","63%",,,,,,,,"Race and Ethnicity data reported","Mixed","23.42%",,,"High","Abdallah CG, Roache JD, Gueorguieva R, et al. Dose-related effects of ketamine for antidepressant-resistant symptoms of posttraumatic stress disorder in veterans and active duty military: a double-blind, randomized, placebo-controlled multi-center clinical trial. Neuropsychopharmacology. 2022 Jul;47(8):1574-81. doi: 10.1038/s41386-022-01266-9. PMID: 35046508.","1586306","2023"
"abdallah2022_B","abdallah2022","Pharmacotherapy","2022","PTSD","Active Control",,"158","B","53","55 randomized, 2 excluded ""never began"" treatment","Low dose ketamine","Ketamine","Eight intravenous infusions of ketamine at a lower dose, given over 40 minutes; expected to act as either treatment or active control","No",,"Yes","Other pharmacotherapy","No",,"No","No","Yes","No","No","Individual","In Person","0.2 mg/kg",,"Twice weekly","4",,,,,"completed 8 infusions","72%",,,,,,,,"Race and Ethnicity data reported","Mixed","23.42%",,,"High","Abdallah CG, Roache JD, Gueorguieva R, et al. Dose-related effects of ketamine for antidepressant-resistant symptoms of posttraumatic stress disorder in veterans and active duty military: a double-blind, randomized, placebo-controlled multi-center clinical trial. Neuropsychopharmacology. 2022 Jul;47(8):1574-81. doi: 10.1038/s41386-022-01266-9. PMID: 35046508.","1586306","2023"
"abdallah2022_C","abdallah2022","Pharmacotherapy","2022","PTSD","Inactive Control",,"158","C","54","55 randomized, 1 excluded ""never began"" treatment","Placebo","Placebo","Eight intravenous infusions of placebo (normal saline), given over 40 minutes","No",,"No",,"No",,"No","No","Yes","No","No","Individual","In Person",,,"Twice weekly","4",,,,,"completed 8 infusions","81%",,,,,,,,"Race and Ethnicity data reported","Mixed","23.42%",,,"High","Abdallah CG, Roache JD, Gueorguieva R, et al. Dose-related effects of ketamine for antidepressant-resistant symptoms of posttraumatic stress disorder in veterans and active duty military: a double-blind, randomized, placebo-controlled multi-center clinical trial. Neuropsychopharmacology. 2022 Jul;47(8):1574-81. doi: 10.1038/s41386-022-01266-9. PMID: 35046508.","1586306","2023"
"abraham2022_A","abraham2022","Other study class","2022","PTSD","PTSD",,"29","A","12",,"Service dog training program","Animal Assisted","Participated in training service dogs for fellow veterans. Sessions with trainer and dog included grooming and bonding, educational lectures, dog training, and debrief.","No",,"No",,"No",,"No","No","No","Yes","No","Individual","In Person",,"60 minutes","Three times weekly","2","6 sessions over 2 weeks","Completed all sessions",,,,,,,,,,,,"Race and Ethnicity data reported","Mixed","28%",,,"High","Abraham PA, Kazman JB, Bonner JA, et al. Effects of training service dogs on service members with PTSD: A pilot-feasibility randomized study with mixed methods. Military Psychology. 2022;34(2):187-96. doi: 10.1080/08995605.2021.1984126.","1620165","2023"
"abraham2022_B","abraham2022","Other study class","2022","PTSD","Inactive Control",,"29","B","17",,"Waitlist","Waitlist","Waitlist","No",,"No",,"No",,"No","No","Yes","No","No",,,,,,"2",,,,,,,,,,,,,,"Race and Ethnicity data reported","Mixed","28%",,,"High","Abraham PA, Kazman JB, Bonner JA, et al. Effects of training service dogs on service members with PTSD: A pilot-feasibility randomized study with mixed methods. Military Psychology. 2022;34(2):187-96. doi: 10.1080/08995605.2021.1984126.","1620165","2023"
"acarturk2016_A","acarturk2016","Psychotherapy","2016","PTSD","PTSD",,"98","A","49",,"EMDR Recent Traumatic Episode Protocol","Eye Movement Desensitization and Reprocessing (EMDR)","Patient asked to make eye movements or exposed to bilateral tones or tapping while recalling traumatic events, with focus on most recent traumatic events with an extended time perspective.","Yes","Trauma-focused","No",,"No",,"No","No","No","No","No","Individual","In Person",,,,,"range of completed sessions was 2 to 7, indicating total of 7 sessions for treatment","completed full EMDR therapy",,,,,,"4.2","1.3",,,,,"Not reported","Community","74.49%","Terrorism/political violence/forced displacement",,"High","Acarturk C, Konuk E, Cetinkaya M, et al. The efficacy of eye movement desensitization and reprocessing for post-traumatic stress disorder and depression among Syrian refugees: results of a randomized controlled trial. Psychol Med. 2016 Sep;46(12):2583-93. doi: 10.1017/S0033291716001070. PMID: 27353367.","45262","2019"
"acarturk2016_B","acarturk2016","Psychotherapy","2016","PTSD","Inactive Control",,"98","B","49",,"Waitlist","Waitlist","Patients not allowed to receive any treatment, including through follow-up period (until assessment at 5 weeks posttreatment)","No",,"No",,"No",,"No","No","Yes","No","No",,,,,,,,,,,,,,,,,,,,"Not reported","Community","74.49%","Terrorism/political violence/forced displacement",,"High","Acarturk C, Konuk E, Cetinkaya M, et al. The efficacy of eye movement desensitization and reprocessing for post-traumatic stress disorder and depression among Syrian refugees: results of a randomized controlled trial. Psychol Med. 2016 Sep;46(12):2583-93. doi: 10.1017/S0033291716001070. PMID: 27353367.","45262","2019"
"acierno2017_A","acierno2017","Psychotherapy","2017","PTSD","PTSD",,"150","A","76",,"PE delivered in-person","Prolonged Exposure (PE)","Trauma-focused CBT according to the manual by Foa, Hembree, & Rothbaum, 2007","Yes","Trauma-focused","No",,"No",,"No","No","No","No","No","Individual","In Person",,"1.5 hours",,"12","10 to 12 sessions total","completed ≥6 treatment sessions",,,,,,"8.6","3.2",,,,,"Race and Ethnicity data reported","Veteran","3.79%","Combat-related",,"Some Concerns","Acierno RE, Knapp RG, Tuerk PW, et al. A non-inferiority trial of prolonged exposure for posttraumatic stress disorder: in person versus home-based telehealth. Behav Res Ther. 2017;89:57-65. doi: 10.1016/j.brat.2016.11.009. PMID: 27894058.","45948","2019"
"acierno2017_B","acierno2017","Psychotherapy","2017","PTSD","PTSD",,"150","B","74",,"PE delivered via home-based telehealth","Prolonged Exposure (PE)","Trauma-focused CBT according to the manual by Foa, Hembree, & Rothbaum, 2007","Yes","Trauma-focused","No",,"No",,"No","No","No","No","No","Individual","Video",,"1.5 hours",,"12","10 to12 sessions total","completed ≥6 treatment sessions",,,,,,"7.6","3.6",,,,,"Race and Ethnicity data reported","Veteran","3.79%","Combat-related",,"Some Concerns","Acierno RE, Knapp RG, Tuerk PW, et al. A non-inferiority trial of prolonged exposure for posttraumatic stress disorder: in person versus home-based telehealth. Behav Res Ther. 2017;89:57-65. doi: 10.1016/j.brat.2016.11.009. PMID: 27894058.","45948","2019"
"acierno2021_A","acierno2021","Psychotherapy","2021","PTSD","PTSD",,"136","A","69",,"Prolonged exposure therapy delivered via telehealth","Prolonged Exposure (PE)","Trauma-focused CBT according to the manual by Foa, Hembree, & Rothbaum, 2007, provided per PE protocol and delivered by home-based telemedicine.","Yes","Trauma-focused","No",,"No",,"No","No","No","No","No","Individual","Video",,"90 minutes","Weekly","12 to 15","12-15 sessions depending on patient progress","Completing 8 or more sessions",,,,,,"6.8","4.14",,,,,"Race and Ethnicity data reported","Veteran","100%","MST",,"Some Concerns","Acierno R, Jaffe AE, Gilmore AK, et al. A randomized clinical trial of in-person vs. home-based telemedicine delivery of prolonged exposure for PTSD in military sexual trauma survivors. J Anxiety Disord. 2021 Oct;83:102461. doi: 10.1016/j.janxdis.2021.102461. PMID: 34391978.","1575093","2023"
